0.152117 & [0, 2, 1, 1, 3, 2, 2, 0, 2, 1, 2]
0.207406 & [0, 3, 3, 2, 0, 0, 0, 3, 4, 1, 0]
0.038229 & [2, 2, 2, 1, 2, 1, 2, 1, 2, 3, 0]
0.033884 & [0, 0, 3, 1, 0, 2, 0, 2, 1, 2, 0]
0.145284 & [1, 3, 1, 0, 1, 1, 0, 0, 1, 2, 1]
0.145284 & [0, 1, 2, 0, 1, 0, 1, 0, 3, 0, 0]
0.195488 & [2, 1, 1, 1, 3, 0, 1, 0, 1, 1, 2]
0.208432 & [0, 3, 0, 4, 1, 0, 1, 0, 2, 2, 3]
0.207406 & [2, 4, 0, 0, 0, 2, 1, 0, 0, 2, 3]
0.207406 & [1, 3, 4, 1, 2, 1, 1, 2, 2, 1, 0]
0.177951 & [0, 0, 0, 2, 0, 1, 0, 0, 0, 4, 3]
0.207406 & [3, 3, 1, 3, 0, 3, 0, 4, 2, 3, 0]
0.208432 & [2, 4, 0, 2, 2, 4, 5, 1, 4, 3, 2]
0.051851 & [0, 2, 5, 1, 4, 0, 2, 0, 1, 0, 3]
0.208411 & [2, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1]
0.177951 & [3, 0, 4, 0, 0, 0, 0, 1, 0, 0, 2]
0.049942 & [4, 2, 0, 2, 2, 0, 2, 0, 3, 1, 2]
0.152117 & [2, 3, 0, 1, 0, 2, 0, 0, 0, 1, 1]
0.072611 & [3, 1, 0, 2, 1, 1, 1, 4, 1, 2, 0]
0.072611 & [1, 2, 1, 0, 1, 2, 4, 1, 3, 2, 2]
0.072611 & [1, 2, 3, 0, 4, 3, 3, 2, 0, 3, 3]
0.148106 & [2, 1, 0, 3, 2, 0, 1, 1, 0, 1, 4]
0.132481 & [1, 0, 0, 0, 1, 0, 0, 3, 0, 2, 0]
0.072611 & [4, 4, 1, 2, 4, 0, 3, 4, 0, 3, 4]
0.033896 & [1, 2, 1, 4, 1, 3, 0, 1, 0, 3, 2]
0.145284 & [1, 0, 1, 2, 0, 0, 0, 3, 0, 1, 0]
0.072611 & [0, 2, 1, 3, 2, 1, 2, 1, 1, 0, 0]
0.014900 & [0, 1, 1, 2, 0, 1, 0, 1, 0, 3, 0]
0.072611 & [0, 4, 1, 2, 1, 1, 0, 1, 0, 3, 0]
0.148106 & [2, 4, 4, 3, 1, 2, 1, 0, 1, 1, 2]
0.259460 & [0, 4, 3, 1, 0, 0, 3, 0, 0, 2, 0]
0.405024 & [0, 3, 4, 1, 1, 2, 1, 5, 0, 3, 3]
0.394183 & [0, 0, 0, 2, 1, 0, 3, 0, 0, 2, 2]
0.291222 & [1, 4, 3, 5, 0, 0, 0, 3, 0, 2, 1]
0.394183 & [2, 0, 1, 0, 3, 2, 0, 0, 2, 0, 0]
0.350123 & [2, 1, 2, 2, 1, 2, 2, 2, 0, 3, 2]
0.259460 & [0, 1, 0, 1, 1, 3, 0, 2, 0, 0, 1]
0.279615 & [3, 4, 2, 1, 2, 1, 0, 4, 2, 2, 2]
0.259460 & [3, 3, 2, 4, 2, 3, 0, 1, 3, 3, 3]
0.394183 & [1, 1, 2, 2, 0, 2, 2, 2, 1, 2, 3]
0.291222 & [2, 3, 1, 0, 2, 2, 1, 4, 0, 3, 3]
0.340163 & [4, 0, 3, 0, 0, 0, 0, 5, 2, 1, 0]
0.394183 & [0, 0, 3, 0, 2, 0, 0, 2, 2, 0, 1]
0.291222 & [0, 3, 1, 0, 4, 4, 2, 4, 1, 0, 3]
0.394183 & [1, 0, 0, 2, 2, 0, 3, 0, 2, 0, 0]
0.394183 & [1, 0, 3, 1, 0, 2, 0, 0, 1, 0, 0]
0.259460 & [0, 0, 1, 4, 0, 2, 0, 0, 3, 3, 0]
0.350123 & [0, 0, 3, 0, 0, 0, 1, 2, 1, 0, 0]
0.394183 & [1, 0, 0, 1, 1, 1, 1, 3, 2, 0, 1]
0.279615 & [1, 4, 3, 0, 2, 0, 1, 0, 0, 0, 2]
0.350123 & [1, 0, 0, 0, 0, 2, 0, 0, 0, 2, 3]
0.394183 & [1, 1, 0, 1, 3, 1, 1, 0, 1, 0, 2]
0.259460 & [2, 0, 2, 2, 0, 2, 4, 1, 3, 2, 2]
0.279615 & [0, 3, 0, 3, 0, 4, 1, 0, 1, 0, 2]
0.279615 & [1, 0, 0, 1, 1, 2, 1, 3, 1, 4, 2]
0.350123 & [3, 0, 0, 0, 1, 0, 2, 0, 3, 0, 0]
0.279615 & [1, 0, 3, 0, 2, 0, 2, 2, 4, 2, 0]
0.291222 & [3, 0, 2, 3, 0, 1, 0, 4, 5, 4, 0]
0.259460 & [1, 4, 0, 2, 0, 3, 0, 0, 0, 2, 0]
0.562674 & [3, 2, 1, 1, 0, 1, 3, 4, 2, 5, 5]
0.630712 & [1, 1, 2, 0, 0, 3, 0, 1, 1, 0, 1]
0.566761 & [0, 0, 0, 2, 2, 0, 3, 2, 0, 4, 1]
0.494423 & [3, 1, 0, 0, 4, 2, 3, 3, 0, 3, 2]
0.441151 & [2, 3, 2, 0, 0, 0, 1, 2, 0, 1, 0]
0.562674 & [0, 0, 4, 5, 3, 1, 2, 3, 2, 3, 1]
0.494423 & [2, 0, 1, 0, 3, 1, 1, 2, 1, 2, 4]
0.444277 & [0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 2]
0.494423 & [3, 0, 0, 1, 4, 4, 1, 2, 0, 1, 0]
0.501156 & [2, 3, 0, 0, 0, 1, 2, 0, 0, 1, 0]
0.444277 & [0, 0, 1, 0, 0, 1, 1, 0, 2, 1, 0]
0.441151 & [0, 0, 2, 1, 0, 0, 0, 3, 2, 1, 1]
0.501156 & [1, 2, 0, 1, 2, 0, 1, 1, 1, 3, 1]
0.650899 & [3, 3, 2, 2, 0, 1, 4, 0, 3, 2, 0]
0.630712 & [4, 0, 2, 0, 0, 0, 1, 3, 0, 0, 3]
0.441151 & [2, 2, 0, 1, 1, 1, 0, 2, 1, 3, 1]
0.444277 & [0, 1, 1, 0, 2, 1, 0, 0, 0, 0, 1]
0.494423 & [4, 1, 3, 2, 0, 3, 1, 3, 0, 0, 0]
0.630712 & [0, 3, 1, 0, 1, 1, 1, 1, 4, 2, 1]
0.441151 & [0, 3, 0, 1, 1, 2, 1, 2, 1, 2, 1]
0.492316 & [0, 0, 0, 0, 2, 0, 2, 0, 2, 0, 1]
0.630712 & [0, 0, 2, 2, 2, 2, 3, 1, 0, 0, 2]
0.566761 & [1, 0, 0, 4, 0, 3, 0, 2, 2, 2, 0]
0.494423 & [0, 2, 2, 2, 0, 1, 0, 3, 0, 1, 4]
0.494423 & [4, 3, 0, 1, 4, 4, 0, 0, 0, 2, 1]
0.501156 & [0, 1, 2, 2, 2, 0, 3, 2, 2, 1, 2]
0.566761 & [3, 3, 0, 4, 2, 0, 1, 3, 0, 0, 0]
0.501156 & [1, 1, 0, 1, 1, 2, 1, 3, 0, 3, 1]
0.501156 & [0, 1, 1, 3, 2, 0, 1, 1, 1, 2, 1]
0.501156 & [0, 2, 2, 2, 0, 2, 3, 2, 1, 2, 1]
0.722403 & [0, 1, 2, 1, 1, 1, 2, 0, 2, 0, 3]
0.848663 & [2, 1, 3, 2, 2, 0, 0, 2, 2, 0, 2]
0.749818 & [2, 1, 1, 3, 1, 2, 0, 1, 1, 1, 1]
0.749818 & [3, 2, 0, 0, 0, 0, 1, 1, 0, 0, 0]
0.722403 & [0, 2, 2, 0, 1, 0, 0, 3, 0, 3, 4]
0.853799 & [1, 3, 4, 0, 1, 1, 0, 0, 3, 2, 2]
0.722403 & [1, 0, 0, 2, 1, 1, 1, 3, 0, 2, 2]
0.853799 & [1, 1, 4, 0, 0, 4, 2, 5, 3, 1, 1]
0.853799 & [0, 1, 0, 2, 0, 4, 4, 1, 1, 3, 2]
0.722403 & [2, 1, 4, 3, 2, 0, 2, 2, 1, 1, 1]
0.853799 & [3, 2, 3, 2, 0, 1, 4, 2, 0, 1, 0]
0.853799 & [0, 2, 1, 2, 0, 0, 1, 3, 1, 4, 4]
0.722403 & [0, 2, 0, 0, 1, 4, 0, 1, 0, 3, 3]
0.848663 & [3, 2, 1, 1, 0, 0, 0, 1, 0, 0, 0]
0.722403 & [2, 0, 2, 2, 1, 2, 1, 4, 2, 3, 3]
0.722403 & [2, 0, 0, 1, 1, 3, 2, 2, 0, 1, 2]
0.848663 & [1, 3, 1, 1, 0, 1, 2, 2, 1, 2, 1]
0.722403 & [0, 1, 1, 1, 0, 0, 3, 4, 2, 1, 0]
0.722403 & [0, 1, 2, 1, 2, 2, 0, 0, 0, 3, 1]
0.848663 & [0, 2, 3, 0, 3, 3, 0, 0, 1, 0, 0]
0.749818 & [0, 0, 0, 0, 3, 0, 1, 0, 2, 1, 0]
0.749818 & [3, 2, 3, 3, 0, 1, 3, 3, 3, 0, 3]
0.853799 & [2, 4, 2, 1, 0, 0, 2, 0, 3, 3, 1]
0.853799 & [1, 0, 1, 3, 0, 2, 2, 3, 1, 4, 3]
0.722403 & [0, 2, 3, 0, 0, 2, 1, 1, 2, 1, 0]
0.722403 & [3, 3, 3, 0, 2, 1, 0, 2, 2, 3, 0]
0.853799 & [2, 0, 1, 1, 0, 2, 3, 3, 3, 4, 2]
0.722403 & [4, 2, 3, 1, 0, 2, 0, 0, 0, 1, 0]
0.722403 & [2, 1, 2, 4, 1, 1, 1, 0, 0, 3, 1]
0.695539 & [1, 1, 1, 1, 2, 1, 1, 1, 0, 1, 1]
0.915016 & [0, 4, 1, 2, 5, 3, 0, 0, 2, 0, 0]
1.034139 & [2, 2, 1, 2, 0, 3, 1, 2, 2, 0, 2]
1.034139 & [0, 0, 3, 1, 1, 0, 2, 2, 0, 0, 0]
0.974126 & [1, 3, 3, 0, 2, 0, 0, 2, 3, 3, 3]
0.974126 & [2, 2, 1, 0, 2, 0, 1, 1, 3, 1, 1]
0.974126 & [3, 3, 2, 0, 1, 1, 0, 1, 0, 1, 1]
0.874280 & [0, 2, 1, 1, 3, 1, 1, 1, 1, 1, 1]
0.974126 & [0, 3, 3, 3, 0, 0, 2, 0, 1, 2, 0]
0.911044 & [0, 0, 0, 0, 4, 0, 1, 2, 0, 0, 3]
0.915016 & [0, 0, 0, 2, 4, 0, 0, 5, 4, 1, 3]
0.911044 & [0, 0, 2, 0, 3, 4, 0, 0, 0, 0, 1]
0.974126 & [1, 2, 1, 1, 1, 0, 3, 1, 2, 0, 2]
0.944713 & [0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]
0.974126 & [3, 2, 1, 1, 0, 1, 3, 3, 3, 3, 2]
0.974126 & [2, 1, 3, 1, 2, 0, 0, 2, 2, 0, 2]
